"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.463813300E-2,2.165504545E-1,-2.518445849E-1,1.009472084E1,1.010018359E1
1.966730000E-2,1.591227055E-1,-1.609173268E-1,9.486345291E0,9.489044283E0
2.218193500E-2,1.256231815E-1,-1.609173268E-1,9.515059471E0,9.517249199E0
2.469657000E-2,7.298108935E-2,-1.226321608E-1,9.424132347E0,9.425212750E0
2.721115400E-2,4.905286431E-2,-6.041877344E-2,9.452845573E0,9.453165927E0
2.972573700E-2,5.982056726E-3,-9.870393574E-2,9.538987160E0,9.539499687E0
3.224032000E-2,-3.589233849E-3,-1.226321608E-1,9.629914284E0,9.630695751E0
3.475495600E-2,2.033899166E-2,-1.369891018E-1,9.731011391E0,9.731996834E0
3.726953900E-2,2.991028316E-2,-2.039881349E-1,9.826724052E0,9.828886579E0
3.978417500E-2,1.555334684E-2,-1.752742529E-1,9.898509026E0,9.900072924E0
4.163313300E-2,1.196411322E-3,-1.800599098E-1,9.970293999E0,9.971919846E0
4.414776800E-2,7.298108935E-2,-2.039881349E-1,9.984650612E0,9.987000813E0
4.666235200E-2,3.948157281E-2,-1.704886109E-1,9.994221687E0,9.995753713E0
4.917698700E-2,3.469592705E-2,-1.561316848E-1,9.984650612E0,9.985931542E0
5.169157000E-2,4.905286431E-2,-1.704886109E-1,9.960722923E0,9.962302631E0
5.420620600E-2,5.862415582E-2,-1.752742529E-1,9.932008743E0,9.933728179E0
5.672078900E-2,1.016949639E-1,-1.944168359E-1,9.879366875E0,9.881802954E0
5.923537200E-2,1.208375469E-1,-1.896311939E-1,9.826724052E0,9.829296379E0
6.174995600E-2,1.016949639E-1,-1.609173268E-1,9.774082184E0,9.775935699E0
6.426459100E-2,1.447657645E-1,-1.561316848E-1,9.788438797E0,9.790754226E0
6.677922700E-2,1.495514214E-1,-1.848455518E-1,9.807581902E0,9.810463611E0
6.929375800E-2,1.782652885E-1,-1.704886109E-1,9.845867157E0,9.848956541E0
7.117474700E-2,1.686939895E-1,-2.087737769E-1,9.812367439E0,9.816037842E0
7.368933100E-2,1.639083475E-1,-2.087737769E-1,9.821938515E0,9.825524343E0
7.620391400E-2,1.734796464E-1,-2.135594189E-1,9.888937950E0,9.892764861E0
7.871849700E-2,1.686939895E-1,-1.800599098E-1,9.936794281E0,9.939857133E0
8.123313300E-2,1.112662554E-1,-1.848455518E-1,9.970293999E0,9.972628063E0
8.374776800E-2,9.212367237E-2,-1.896311939E-1,9.979865074E0,9.982091648E0
8.626235200E-2,1.064806059E-1,-1.657029688E-1,9.994221687E0,9.996162400E0
8.877693500E-2,7.298108935E-2,-1.992024779E-1,9.970293999E0,9.972550842E0
9.129157000E-2,4.426721856E-2,-1.752742529E-1,9.984650612E0,9.986287022E0
9.380615400E-2,6.340979785E-2,-1.800599098E-1,9.960722923E0,9.962552059E0
9.632078900E-2,6.340979785E-2,-1.657029688E-1,9.965508461E0,9.967087697E0
9.883537200E-2,4.905286431E-2,-1.417747438E-1,9.965508461E0,9.966637605E0
1.007142790E-1,5.862415582E-2,-1.226321608E-1,9.941579819E0,9.942508976E0
1.032288620E-1,7.298108935E-2,-1.274178028E-1,9.898509026E0,9.899598096E0
1.057434450E-1,8.255238086E-2,-1.465603858E-1,9.941579819E0,9.943002773E0
1.082580290E-1,5.383851007E-2,-1.513460279E-1,9.908080101E0,9.909382195E0
1.107726640E-1,8.733802289E-2,-1.369891018E-1,9.970293999E0,9.971617540E0
1.132873000E-1,7.776673883E-2,-1.417747438E-1,9.946365356E0,9.947679707E0
1.158018830E-1,8.733802289E-2,-1.896311939E-1,9.932008743E0,9.934202816E0
1.183164660E-1,8.733802289E-2,-1.752742529E-1,9.941579819E0,9.943508349E0
1.208311020E-1,1.016949639E-1,-1.848455518E-1,9.955936432E0,9.958171518E0
